pair,year_season,BC,area_overlap_m2,foi_cor,foi_space,num_contacts,num_locs
"(np.int64(151571), np.int64(151599))",2023_Fawning,0.6223634577898182,607250.4814916867,2.662236576085771e-06,4.5609620774434705e-06,48,8784
"(np.int64(151571), np.int64(151599))",2023_Gestation,0.22375242239517917,264931.09911068133,5.832123908026141e-07,8.469999610078307e-07,6,6554
"(np.int64(151571), np.int64(151599))",2023_Lactation,0.41984276729723685,623759.1946292409,2.0355696166713794e-06,4.882393732304809e-06,80,13248
"(np.int64(151571), np.int64(151599))",2023_Rut,0.25977729651291126,2272983.8186905505,-8.17878102378164e-08,7.145961058136719e-07,5,7867
"(np.int64(151571), np.int64(153659))",2024_Gestation,0.03739675165116485,1031569.8813329217,-3.1752403511281976e-08,1.838292874407432e-08,0,8097
"(np.int64(151571), np.int64(155019))",2024_Gestation,2.7168931560753627e-05,709466.7934347573,,,0,7821
"(np.int64(151571), np.int64(155124))",2024_Gestation,0.01985099197432579,356158.5693209978,-2.9503246059723677e-09,7.072175773778928e-10,0,7875
"(np.int64(151571), np.int64(155140))",2024_Gestation,0.3326706648639298,4254798.613488705,-3.7417055111919533e-07,2.9192946580489916e-07,0,7821
"(np.int64(151571), np.int64(155143))",2024_Gestation,0.08003496984294556,3857675.542729523,-8.194347620794995e-08,9.18940179667723e-08,0,8046
"(np.int64(151571), np.int64(155145))",2024_Gestation,2.840218078047952e-07,135140.66307532258,,,0,7728
"(np.int64(151571), np.int64(155149))",2024_Gestation,0.6620870282905054,2180076.5201500054,6.394184365269132e-06,3.7499683392561196e-06,87,8010
"(np.int64(151571), np.int64(155154))",2024_Gestation,0.39869605393011787,983425.0089686415,3.587400024902074e-06,2.8905150508849972e-06,25,7383
"(np.int64(151571), np.int64(155159))",2024_Gestation,0.00144552235403262,111891.10976368608,-1.2462450816170796e-10,2.8752234413086145e-12,0,7857
"(np.int64(151571), np.int64(155160))",2024_Gestation,0.6437725003157168,1750553.7702547996,1.6365223815959708e-06,2.6379349626186358e-06,32,8013
"(np.int64(151571), np.int64(155162))",2024_Gestation,0.3351570805857821,2801657.5065428517,1.2984681964343024e-06,1.0266443627984222e-06,20,7833
"(np.int64(151571), np.int64(155163))",2024_Gestation,1.6502361348700483e-07,132552.33605879426,,,0,7908
"(np.int64(151571), np.int64(155164))",2024_Gestation,0.005488524769747635,1670866.2880904232,-4.020206487857928e-09,9.458672898181076e-10,0,8010
"(np.int64(151571), np.int64(155166))",2024_Gestation,7.111022466209547e-05,267336.200031183,,,0,7881
"(np.int64(151571), np.int64(155167))",2024_Gestation,0.002621149262131618,435579.36878553126,,,0,7506
"(np.int64(151575), np.int64(151589))",2023_Lactation,0.004791220142933665,13004.12325867953,-3.426780788997611e-08,2.2550861988122683e-08,0,13248
"(np.int64(151575), np.int64(151589))",2023_Rut,0.02430039234996239,651458.1161188766,-2.0210956796072597e-08,1.1662464642624421e-08,0,8281
"(np.int64(151575), np.int64(151592))",2023_Gestation,0.1547039913361745,1262766.6423892712,-1.3165551680629356e-07,6.880124643856101e-08,0,6677
"(np.int64(151575), np.int64(151599))",2023_Fawning,0.4538751532569823,657029.5387030981,-9.655201841125752e-07,2.1579244877649213e-06,9,8784
"(np.int64(151575), np.int64(151599))",2023_Gestation,0.6940447867243296,3248183.5136303594,-7.455424668542642e-07,8.75659052079549e-07,10,6677
"(np.int64(151575), np.int64(151599))",2023_Lactation,0.5440239688511801,1407211.4249503938,2.331774842832683e-06,2.9817089466335428e-06,82,13248
"(np.int64(151575), np.int64(151599))",2023_Rut,0.7437259868136338,1671837.0579117793,1.1770487873852893e-07,1.4403969559794347e-06,31,7867
"(np.int64(151576), np.int64(151583))",2024_Gestation,0.00024146466672008264,224550.37834397645,,,0,15110
"(np.int64(151576), np.int64(151589))",2024_Fawning,0.754525456412529,773167.1258340848,2.5695064069583413e-05,4.8964973321383456e-06,396,8784
"(np.int64(151576), np.int64(151589))",2024_Gestation,0.9882100229445598,1567004.8143550556,0.00048800405896856717,7.569487095278121e-06,7449,15110
"(np.int64(151576), np.int64(151589))",2024_Lactation,0.302391961973789,349461.8148735325,4.3329050875331666e-06,3.3018056582135043e-06,12,3669
"(np.int64(151576), np.int64(153659))",2024_Gestation,0.01118797850829117,140612.08838092437,-3.3114399412829e-08,1.978661645437429e-08,0,15110
"(np.int64(151576), np.int64(155140))",2024_Fawning,0.01583381829360745,28425.80858866602,-6.854912263841422e-08,8.324251610553749e-08,0,8784
"(np.int64(151576), np.int64(155140))",2024_Gestation,0.2714453556498746,1562787.8490140971,5.765538558788302e-08,1.660150415314437e-07,9,15104
"(np.int64(151576), np.int64(155143))",2024_Gestation,0.01179872100690128,159681.51748039137,-3.180754902775593e-08,2.0870375611599383e-08,0,15110
"(np.int64(151576), np.int64(155149))",2024_Fawning,0.8064014536719757,653142.9662432845,4.494515521535708e-06,5.600500445784046e-06,114,8784
"(np.int64(151576), np.int64(155149))",2024_Gestation,0.8406275525689622,1533553.8824899464,1.1547340668494433e-05,3.19887336935433e-06,319,15110
"(np.int64(151576), np.int64(155149))",2024_Lactation,0.8225136966127123,293200.2276915991,-6.2846796324903406e-06,1.9307421605524028e-05,16,1477
"(np.int64(151576), np.int64(155154))",2024_Gestation,0.4180986503193107,660128.1143845967,1.8559326184747534e-07,2.539344144877223e-06,18,7101
"(np.int64(151576), np.int64(155160))",2024_Fawning,0.2857413161281643,249502.51478586323,2.6522104583598037e-06,2.1971222494718234e-06,11,8784
"(np.int64(151576), np.int64(155160))",2024_Gestation,0.41565948734868363,1526815.8699736886,1.1702720045417906e-06,9.445749598357754e-07,41,15110
"(np.int64(151576), np.int64(155160))",2024_Lactation,0.1367606260399553,212559.66953789015,-3.8039774065179356e-06,3.183932587162001e-06,0,3727
"(np.int64(151576), np.int64(155162))",2024_Fawning,0.05518052267590015,39196.37479034005,-7.276225803640471e-07,8.807845368368601e-07,0,8784
"(np.int64(151576), np.int64(155162))",2024_Gestation,0.1876037180370493,948022.8893760392,-6.543841983446076e-08,4.2743748124902503e-07,4,15110
"(np.int64(151576), np.int64(155164))",2024_Gestation,0.0006466695607495237,2064.735522778372,,,0,15110
"(np.int64(151578), np.int64(151585))",2024_Fawning,0.3215659146131561,302408.06050448853,1.7848636361960017e-05,2.9645244573829972e-06,86,8784
"(np.int64(151578), np.int64(151585))",2024_Gestation,0.7783786716042018,1156277.2041908235,2.4496388541902076e-05,5.999925314022847e-06,337,8948
"(np.int64(151578), np.int64(151585))",2024_Lactation,0.6082040101457815,200330.38158115096,8.588596758538625e-05,2.9453064276468717e-05,189,3769
"(np.int64(151578), np.int64(155138))",2024_Fawning,0.10983972766630698,631159.2575535098,-2.827444597679035e-07,1.7440434862064494e-07,1,8784
"(np.int64(151578), np.int64(155138))",2024_Gestation,0.2552828559048973,1747126.2225708638,-1.7671656706041685e-07,1.4691068146081998e-07,0,8177
"(np.int64(151578), np.int64(155138))",2024_Lactation,0.003625853322446804,16998.13354328162,,,0,3778
"(np.int64(151581), np.int64(155138))",2024_Gestation,0.006137204265760114,13403.631870985408,-2.8771202629467093e-09,5.067101248217244e-10,0,7340
"(np.int64(151581), np.int64(155142))",2024_Gestation,0.030860999793854964,369774.15948358725,-9.244762355943816e-08,3.008858961809364e-08,0,7340
"(np.int64(151582), np.int64(151597))",2023_Fawning,0.004217077974581352,83617.97020068769,,,0,4405
"(np.int64(151582), np.int64(151597))",2023_Gestation,0.0172952766396529,94882.20160274798,-2.1065101294411373e-09,2.1206853502713353e-10,0,6914
"(np.int64(151583), np.int64(151589))",2023_Rut,0.004363158142543942,279545.02839396865,-3.374739306546297e-09,1.897433846678497e-09,0,13248
"(np.int64(151583), np.int64(151589))",2024_Gestation,0.0009790594604486469,280457.385926397,,,0,17424
"(np.int64(151583), np.int64(151599))",2023_Fawning,0.02935730145055302,63037.09317989449,-5.8873419337685035e-08,4.759308661837184e-08,0,8784
"(np.int64(151583), np.int64(151599))",2023_Gestation,0.04204101338821011,27345.751234243788,-1.3794499812647655e-07,4.1305462099779244e-08,0,6647
"(np.int64(151583), np.int64(151599))",2023_Rut,0.04794378905805959,649926.217115904,-4.626391414127463e-08,1.1484300845866552e-08,0,7867
"(np.int64(151583), np.int64(153659))",2024_Gestation,0.021559998801701903,1781168.1629712426,-1.1623760111822919e-08,3.297045303384275e-09,0,15380
"(np.int64(151583), np.int64(155019))",2024_Gestation,0.018386532553733927,3685400.2506087837,-4.5613982755010384e-09,1.6584905949718399e-09,0,15104
"(np.int64(151583), np.int64(155140))",2024_Fawning,0.023165445843238118,5611.617844162718,-1.1017321067293505e-07,8.48684744207122e-08,0,8784
"(np.int64(151583), np.int64(155140))",2024_Gestation,0.26190373372799325,8309261.2620525025,-6.050252210580532e-08,5.7739145268050844e-08,0,15104
"(np.int64(151583), np.int64(155143))",2024_Fawning,0.1270944900482989,240166.48311843598,-5.889984349569747e-07,7.644236896221651e-07,0,8784
"(np.int64(151583), np.int64(155143))",2024_Gestation,0.21888021046988626,5267620.9586909395,4.049450185144554e-07,1.3239119942063454e-07,19,15329
"(np.int64(151583), np.int64(155144))",2024_Gestation,0.009159948703089003,57571.771073411575,-4.959131827808276e-09,2.4646211655574087e-09,0,15080
"(np.int64(151583), np.int64(155149))",2024_Gestation,0.0012925681273402412,757655.0475320548,-6.777277856282338e-10,1.0940868755914053e-10,0,15293
"(np.int64(151583), np.int64(155154))",2024_Gestation,0.04867283185469162,222046.01285697654,-5.986929049826123e-08,3.4066043925333857e-08,0,7383
"(np.int64(151583), np.int64(155159))",2024_Gestation,0.04159971829368154,249697.47175271937,-4.3083043866449986e-08,3.6685735213151527e-08,0,15140
"(np.int64(151583), np.int64(155160))",2024_Gestation,0.0003489238048516256,1109842.3683163223,,,0,15296
"(np.int64(151583), np.int64(155161))",2024_Gestation,0.010540042099344865,68771.42890355746,-5.004849200433019e-09,3.5210029062755606e-09,0,15449
"(np.int64(151583), np.int64(155162))",2024_Gestation,0.035298736451958156,2247316.6569317016,-4.02303841953206e-08,2.6529279390585452e-08,0,15116
"(np.int64(151583), np.int64(155164))",2024_Gestation,0.05926736901848946,3943066.332056825,-2.37606561619277e-08,9.001280322089687e-09,0,15293
"(np.int64(151583), np.int64(155167))",2024_Gestation,0.01986953582226109,1420913.1382880101,-8.782465714335822e-10,1.5074640019852145e-10,0,14789
"(np.int64(151585), np.int64(155138))",2024_Fawning,0.042795967525830515,455320.75532179227,-1.1782354865192822e-08,7.535889828549722e-09,0,8784
"(np.int64(151585), np.int64(155138))",2024_Gestation,0.17044661746850487,1694201.7926285833,3.1919532902325096e-06,1.2865920312377217e-07,33,8177
"(np.int64(151585), np.int64(155138))",2024_Lactation,0.00025886784403305604,10133.932733475336,,,0,3769
"(np.int64(151586), np.int64(151609))",2023_Fawning,0.46280689968657773,1438714.4738485399,1.321051994122004e-06,8.51456131696095e-07,20,8784
"(np.int64(151586), np.int64(151609))",2023_Gestation,0.39221312803540753,874657.5446984685,-4.135126147213707e-07,1.120569268365844e-06,10,6851
"(np.int64(151586), np.int64(151609))",2023_Lactation,0.33966051654047597,599.0389592147783,0.0002603297307125559,8.316314912333604e-06,7,223
"(np.int64(151586), np.int64(151611))",2023_Fawning,0.043687901812739204,306247.6769163841,-5.616879929412905e-07,1.6885006076743317e-07,0,8784
"(np.int64(151586), np.int64(151611))",2023_Gestation,0.21506768332532228,1152295.4614868483,-1.332968643990423e-07,8.96599852203023e-08,0,5651
"(np.int64(151586), np.int64(155019))",2024_Gestation,0.00571880037382619,803697.0643856276,-1.509079084596921e-10,6.099365594945639e-12,0,12366
"(np.int64(151586), np.int64(155124))",2024_Gestation,0.19030695581262191,2033768.3226742595,4.401375339618596e-08,9.147354193027273e-08,2,12420
"(np.int64(151586), np.int64(155143))",2024_Gestation,0.021843426470646115,414816.94992265996,-1.7566493319604938e-08,7.125169466972622e-09,0,12591
"(np.int64(151586), np.int64(155145))",2024_Gestation,0.0015242140119913013,1146.4516921898341,,,0,12273
"(np.int64(151586), np.int64(155156))",2024_Gestation,0.1032628458198809,1379924.6450353127,-4.3686907121226164e-08,2.5205808931202286e-08,0,12393
"(np.int64(151586), np.int64(155163))",2024_Gestation,0.0012633432434180994,2207.3502216528623,,,0,12453
"(np.int64(151586), np.int64(155164))",2024_Gestation,0.00556492304347876,866294.8249045857,-3.3742645030010043e-09,3.024885439093501e-10,0,12555
"(np.int64(151586), np.int64(155166))",2024_Gestation,0.0007707084690609491,174052.82480034602,,,0,12426
"(np.int64(151586), np.int64(155167))",2024_Gestation,0.05426079255625985,346160.5869384678,-6.358886053922766e-09,2.1587584547621814e-09,0,12051
"(np.int64(151589), np.int64(151599))",2023_Fawning,0.23270457080309598,182921.54042689278,-3.5302306116089683e-07,2.2824981699676163e-06,7,8784
"(np.int64(151589), np.int64(151599))",2023_Gestation,0.19581525151132206,281680.4785568618,1.947556494914019e-06,5.522300765392364e-07,15,6755
"(np.int64(151589), np.int64(151599))",2023_Lactation,0.06843582893955374,280024.69745230343,9.438734236130014e-07,2.568902129582037e-07,3,13248
"(np.int64(151589), np.int64(151599))",2023_Rut,0.06692456536238998,850184.0823711721,-4.93937084522339e-08,2.6500268292986223e-08,0,7867
"(np.int64(151589), np.int64(153659))",2024_Gestation,0.01936310560635881,194424.379111518,-2.708884018529679e-08,1.4392444475368985e-08,0,15380
"(np.int64(151589), np.int64(155140))",2024_Fawning,0.06226943451624903,284140.54957260913,-7.768286348823454e-08,8.627750047847487e-08,0,8784
"(np.int64(151589), np.int64(155140))",2024_Gestation,0.2914599919184834,1624981.9936220918,-3.181795962757472e-08,1.7388102214423692e-07,6,15104
"(np.int64(151589), np.int64(155140))",2024_Lactation,0.08069351079450489,109151.50830470631,4.947661892496815e-05,4.709854673281972e-07,5,3669
"(np.int64(151589), np.int64(155143))",2024_Fawning,0.03214259358427386,15496.298342236958,-1.873164660352922e-06,7.44650262123712e-07,0,8784
"(np.int64(151589), np.int64(155143))",2024_Gestation,0.014455285285093353,483261.72430143005,-4.469452871491264e-09,2.7031046257231223e-09,0,15329
"(np.int64(151589), np.int64(155149))",2024_Fawning,0.5650547142131519,619639.7339240862,1.0763503842069685e-06,2.473231623438865e-06,35,8784
"(np.int64(151589), np.int64(155149))",2024_Gestation,0.7908957563864005,1598389.2330100378,9.320878012691392e-06,2.8899894384930425e-06,256,15293
"(np.int64(151589), np.int64(155149))",2024_Lactation,0.3853045023856554,123871.70332003995,7.679022771059971e-06,8.262502782284502e-06,11,1477
"(np.int64(151589), np.int64(155154))",2024_Gestation,0.4282718569894195,637911.2959139541,1.3194798374444973e-06,2.7397148498065013e-06,19,7383
"(np.int64(151589), np.int64(155160))",2024_Fawning,0.16598524332766834,337764.48450154334,-4.821905084675678e-07,6.851876612696247e-07,3,8784
"(np.int64(151589), np.int64(155160))",2024_Gestation,0.41442192790233146,1600875.7513535116,1.841878904632376e-06,9.21260712932331e-07,44,15296
"(np.int64(151589), np.int64(155160))",2024_Lactation,0.01458209387310353,141.3339777719668,,,0,3669
"(np.int64(151589), np.int64(155162))",2024_Fawning,0.07299692501634497,263401.5761553468,5.85362791876136e-06,2.347281566770148e-07,10,8784
"(np.int64(151589), np.int64(155162))",2024_Gestation,0.207817646004587,1019084.8485539588,5.066111265815345e-07,4.940499251573517e-07,12,15116
"(np.int64(151589), np.int64(155162))",2024_Lactation,0.1357102514631282,114740.9726320926,-1.226185503640532e-06,1.4634549462492323e-06,0,3669
"(np.int64(151589), np.int64(155164))",2024_Gestation,0.0023027630872785062,4840.053642675698,-3.102143534858147e-09,2.329190660379909e-09,0,15293
"(np.int64(151590), np.int64(151607))",2024_Fawning,0.5925709397643585,1129594.622469731,1.569086482215265e-06,5.575172384762246e-06,71,8784
"(np.int64(151590), np.int64(151607))",2024_Gestation,0.12479609555877319,452084.6242962175,4.605948872612968e-07,2.1958749178203288e-07,1,14688
"(np.int64(151590), np.int64(151607))",2024_Lactation,0.5059367867687827,353415.3071703288,3.212564998427534e-06,6.160253666237259e-06,65,3684
"(np.int64(151590), np.int64(155019))",2024_Gestation,0.035585891814213795,1223382.6650951956,-5.847817624231007e-08,4.227868325233707e-08,0,15104
"(np.int64(151590), np.int64(155139))",2024_Gestation,0.09111091516310424,456039.5036985658,-1.324946316915331e-07,1.0705639787431935e-07,0,15017
"(np.int64(151590), np.int64(155140))",2024_Gestation,0.010457452213411112,222192.71767479734,,,0,15104
"(np.int64(151590), np.int64(155143))",2024_Gestation,0.020687203910181265,395508.9106895502,-1.5710158828476643e-08,7.558619522518195e-09,0,15282
"(np.int64(151590), np.int64(155145))",2024_Fawning,0.01996084439463457,213495.81979731133,-3.632234298362354e-08,2.3762407369221508e-08,0,8784
"(np.int64(151590), np.int64(155145))",2024_Gestation,0.26843414418132544,626856.0016611369,-2.7924728013536544e-07,6.053841976441643e-07,5,15011
"(np.int64(151590), np.int64(155145))",2024_Lactation,0.030033436456280052,151769.67173031077,-3.3408545330799946e-07,1.8087340384226882e-07,0,3694
"(np.int64(151590), np.int64(155148))",2024_Gestation,0.0014145899902361877,125942.0581898227,-5.203666306464658e-10,1.2598369142691516e-10,0,15282
"(np.int64(151590), np.int64(155163))",2024_Fawning,0.06904981446635838,604608.3444405912,6.1503350694981395e-06,1.3321087471154715e-07,1,8784
"(np.int64(151590), np.int64(155163))",2024_Gestation,0.2633356238236385,631406.6173174931,1.7140246954296875e-06,5.781038698088173e-07,14,15191
"(np.int64(151590), np.int64(155163))",2024_Lactation,0.22795824818284763,182563.04490321578,-2.656700615078491e-08,1.372004590438366e-06,1,3736
"(np.int64(151590), np.int64(155164))",2024_Gestation,0.017425272989267604,1414460.4131204537,-1.3900721251343604e-08,7.706487299899482e-09,0,15282
"(np.int64(151590), np.int64(155166))",2024_Fawning,0.3972184594616179,577596.1070085904,6.6351774175150665e-06,6.175210202505513e-06,27,8784
"(np.int64(151590), np.int64(155166))",2024_Gestation,0.3516452638355655,821474.4490736906,-3.1413936684299187e-07,7.882509512397268e-07,4,15164
"(np.int64(151590), np.int64(155166))",2024_Lactation,0.49640435375447367,210717.54455370936,3.23662741293226e-06,9.970932509948531e-06,26,3724
"(np.int64(151590), np.int64(155167))",2024_Gestation,0.33660972306981485,1601679.5459510323,9.161000483714201e-08,8.834721583230154e-08,2,14789
"(np.int64(151592), np.int64(151599))",2023_Gestation,0.1182748889686272,1873323.6970314588,1.962589880572707e-06,5.46823713207762e-08,7,6947
"(np.int64(151607), np.int64(155019))",2024_Gestation,0.02796650171640344,3240582.617601527,-4.266927307365023e-09,1.0511058431318576e-09,0,14688
"(np.int64(151607), np.int64(155124))",2024_Fawning,0.17562458777849982,132404.2321978757,-7.670997551780302e-07,5.132966569435257e-07,3,8784
"(np.int64(151607), np.int64(155124))",2024_Gestation,0.43131557361750544,1923655.941223706,7.481480607945355e-07,2.828576668728312e-07,102,14688
"(np.int64(151607), np.int64(155139))",2024_Gestation,0.023846310520159765,513026.31562477036,-9.080576223335099e-09,4.957567919589646e-09,0,14688
"(np.int64(151607), np.int64(155140))",2024_Gestation,0.04906896739124753,1696101.2692384743,-9.978731692235634e-09,2.9952363987011207e-09,0,14688
"(np.int64(151607), np.int64(155143))",2024_Gestation,0.004360174004479835,2265011.4596134005,-4.790230564584193e-10,7.009660468891399e-11,0,14688
"(np.int64(151607), np.int64(155145))",2024_Fawning,0.09724290112422931,312088.6848816099,-9.123898741340105e-08,7.195637050752321e-08,0,8784
"(np.int64(151607), np.int64(155145))",2024_Gestation,0.2204447118477127,3395781.1448693154,1.2053064351646157e-07,7.266919697917562e-08,7,14688
"(np.int64(151607), np.int64(155145))",2024_Lactation,0.03451041515180751,147794.1164193598,-1.8829114309102464e-07,8.96686263280739e-08,0,3684
"(np.int64(151607), np.int64(155156))",2024_Gestation,0.02685481694573052,362231.0731416153,-2.9905890951393873e-09,7.150684251967958e-10,0,14688
"(np.int64(151607), np.int64(155163))",2024_Fawning,0.3741807642247609,846039.8596490585,4.944032327368238e-06,1.5100471850225187e-06,22,8784
"(np.int64(151607), np.int64(155163))",2024_Gestation,0.22049258540509936,3358191.772976782,3.033823764804166e-08,8.179030259583448e-08,4,14688
"(np.int64(151607), np.int64(155163))",2024_Lactation,0.3018632993294057,482392.93207724474,3.0082758300710337e-06,6.551882906164491e-07,10,3684
"(np.int64(151607), np.int64(155164))",2024_Gestation,0.05354036315865256,4166273.2262595603,8.605535548309651e-08,5.152412331210654e-09,1,14688
"(np.int64(151607), np.int64(155166))",2024_Fawning,0.37389612192728544,661296.6308870488,6.122726966560014e-07,1.635860942833004e-06,34,8784
"(np.int64(151607), np.int64(155166))",2024_Gestation,0.18696033597472755,4175419.618515048,3.857341742934785e-07,4.4241310021667465e-08,3,14688
"(np.int64(151607), np.int64(155166))",2024_Lactation,0.1879099334610664,168350.4961799192,1.2959340532647606e-05,2.854241690669542e-06,30,3684
